时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-27 08:30:00,7.636685000000001,7.3986173,5.617047
2019-05-27 08:45:00,5.487758,6.180195,4.620517
2019-05-27 09:00:00,4.901686,5.316749,3.6899464
2019-05-27 09:15:00,4.244576,4.498774,3.0844276
2019-05-27 09:30:00,3.019155,3.436683,2.3257303
2019-05-27 09:45:00,1.953571,2.4457421,1.6150858
2019-05-27 10:00:00,1.296461,1.8198973,1.1692986
2019-05-27 10:15:00,0.8879870000000001,1.3717306,0.624244
2019-05-27 10:30:00,0.497272,1.0351081,0.34936452
2019-05-27 10:45:00,0.443993,0.6328566,0.29297066
2019-05-27 11:00:00,0.248636,0.4933498,0.24274898
2019-05-27 11:15:00,0.0,0.23893094,0.17233706
2019-05-27 11:30:00,0.0,0.22574043,0.17233706
2019-05-27 11:45:00,0.0,0.22572422,0.17222118
2019-05-27 12:00:00,0.0,0.22451472,0.17218637
2019-05-27 12:15:00,0.0,0.22451472,0.17124867
2019-05-27 12:30:00,0.0,0.22421098,0.17116547
2019-05-27 12:45:00,0.0,0.22451138,0.17116547
2019-05-27 13:00:00,0.0,0.22603178,0.17120957
2019-05-27 13:15:00,0.0,0.22601557,0.17120957
2019-05-27 13:30:00,0.0,0.22601557,0.17120957
2019-05-27 13:45:00,0.0,0.22601557,0.17120957
2019-05-27 14:00:00,0.0,0.2236774,0.17120957
2019-05-27 14:15:00,0.0,0.2236774,0.17120957
2019-05-27 14:30:00,0.0,0.2236774,0.17120957
2019-05-27 14:45:00,0.0,0.2236774,0.17120957
2019-05-27 15:00:00,0.0,0.2236774,0.17120957
2019-05-27 15:15:00,0.0,0.2236774,0.17120957
2019-05-27 15:30:00,0.0,0.2236774,0.17120957
2019-05-27 15:45:00,0.0,0.2236774,0.17120957
2019-05-27 16:00:00,0.0,0.2236774,0.17120957
2019-05-27 16:15:00,0.0,0.2236774,0.17120957
2019-05-27 16:30:00,0.0,0.2236774,0.17120957
2019-05-27 16:45:00,0.0,0.2236774,0.17120957
2019-05-27 17:00:00,0.0,0.2236774,0.17120957
2019-05-27 17:15:00,0.0,0.2236774,0.17120957
2019-05-27 17:30:00,0.0,0.2236774,0.17120957
2019-05-27 17:45:00,0.0,0.2236774,0.17120957
2019-05-27 18:00:00,0.0,0.2236774,0.17120957
