datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2018-11-24 14:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 14:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 14:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 14:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 15:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 15:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 15:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 15:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 16:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 16:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 16:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 16:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 17:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 17:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 17:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 17:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 18:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 18:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 18:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 18:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 19:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 19:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 19:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 19:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 20:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 20:15:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 20:30:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 20:45:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 21:00:00,0.0,0.06984067,0.23120403,0.19327116
2018-11-24 21:15:00,0.0,0.06984067,0.23120403,0.19327116
