起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2019/02/23/00:00,2019/02/24/23:00,0.0,0.18049979
2019/02/23/00:00,2019/02/24/23:15,0.497272,0.36786413
2019/02/23/00:00,2019/02/24/23:30,0.994545,0.7874286
2019/02/23/00:00,2019/02/24/23:45,1.065584,1.7103231
2019/02/24/00:00,2019/02/25/00:00,1.633895,2.4053864
2019/02/24/00:00,2019/02/25/00:15,2.734999,2.8634536
2019/02/24/00:00,2019/02/25/00:30,3.534187,3.7048454
2019/02/24/00:00,2019/02/25/00:45,3.96042,4.2750034
2019/02/24/00:00,2019/02/25/01:00,4.972725,5.849204
2019/02/24/00:00,2019/02/25/01:15,6.340225,6.3862276
2019/02/24/00:00,2019/02/25/01:30,8.364834,6.8310347
2019/02/24/00:00,2019/02/25/01:45,8.489152,7.08891
2019/02/24/00:00,2019/02/25/02:00,10.03425,8.220652
2019/02/24/00:00,2019/02/25/02:15,11.04655,8.600698
2019/02/24/00:00,2019/02/25/02:30,11.20639,10.043346
2019/02/24/00:00,2019/02/25/02:45,12.44957,10.226199
2019/02/24/00:00,2019/02/25/03:00,12.89357,10.39718
2019/02/24/00:00,2019/02/25/03:15,12.89357,10.752616
2019/02/24/00:00,2019/02/25/03:30,13.92363,10.354419
2019/02/24/00:00,2019/02/25/03:45,13.99467,10.370845
2019/02/24/00:00,2019/02/25/04:00,13.99467,10.513316
2019/02/24/00:00,2019/02/25/04:15,13.99467,10.513316
2019/02/24/00:00,2019/02/25/04:30,13.99467,10.513316
2019/02/24/00:00,2019/02/25/04:45,14.84714,10.253661
2019/02/24/00:00,2019/02/25/05:00,14.11899,9.592407
2019/02/24/00:00,2019/02/25/05:15,14.11899,9.4242735
2019/02/24/00:00,2019/02/25/05:30,14.11899,9.867045
2019/02/24/00:00,2019/02/25/05:45,13.87035,8.988016
2019/02/24/00:00,2019/02/25/06:00,13.1422,8.689688
2019/02/24/00:00,2019/02/25/06:15,12.16542,8.810364
2019/02/24/00:00,2019/02/25/06:30,11.22415,8.595912
2019/02/24/00:00,2019/02/25/06:45,10.10529,8.449309
2019/02/24/00:00,2019/02/25/07:00,9.128503,7.0329447
2019/02/24/00:00,2019/02/25/07:15,8.027399,6.831366
2019/02/24/00:00,2019/02/25/07:30,6.144867,6.386382
2019/02/24/00:00,2019/02/25/07:45,5.825192,5.605104
2019/02/24/00:00,2019/02/25/08:00,4.883926,4.698906
2019/02/24/00:00,2019/02/25/08:15,3.907141,3.081439
2019/02/24/00:00,2019/02/25/08:30,2.983635,2.1480434
2019/02/24/00:00,2019/02/25/08:45,2.202207,1.9347342
2019/02/24/00:00,2019/02/25/09:00,1.474058,1.3011684
2019/02/24/00:00,2019/02/25/09:15,0.816948,0.88311887
2019/02/24/00:00,2019/02/25/09:30,0.337435,0.3549726
2019/02/24/00:00,2019/02/25/09:45,0.0177599999999999,0.124969006
2019/02/24/00:00,2019/02/25/10:00,0.0,0.054848194
2019/02/24/00:00,2019/02/25/10:15,0.0,0.054848194
2019/02/24/00:00,2019/02/25/10:30,0.0,0.054848194
