起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/26/00:00,2018/08/27/16:00,0.0,0.039640665
2018/08/26/00:00,2018/08/27/16:15,0.0,0.039640665
2018/08/26/00:00,2018/08/27/16:30,0.0,0.039640665
2018/08/26/00:00,2018/08/27/16:45,0.0,0.039640665
2018/08/26/00:00,2018/08/27/17:00,0.0,0.039640665
2018/08/26/00:00,2018/08/27/17:15,0.0,0.039640665
2018/08/26/00:00,2018/08/27/17:30,0.0,0.039640665
2018/08/26/00:00,2018/08/27/17:45,0.0,0.039640665
2018/08/26/00:00,2018/08/27/18:00,0.0,0.039640665
2018/08/26/00:00,2018/08/27/18:15,0.0,0.039640665
2018/08/26/00:00,2018/08/27/18:30,0.0,0.039640665
2018/08/26/00:00,2018/08/27/18:45,0.0,0.039640665
2018/08/26/00:00,2018/08/27/19:00,0.0,0.04511881
2018/08/26/00:00,2018/08/27/19:15,0.0,0.04511881
2018/08/26/00:00,2018/08/27/19:30,0.0,0.04511881
2018/08/26/00:00,2018/08/27/19:45,0.0,0.04511881
2018/08/26/00:00,2018/08/27/20:00,0.0,0.04511881
2018/08/26/00:00,2018/08/27/20:15,0.0,0.04511881
2018/08/26/00:00,2018/08/27/20:30,0.0,0.04511881
2018/08/26/00:00,2018/08/27/20:45,0.0,0.04511881
2018/08/26/00:00,2018/08/27/21:00,0.0,0.04511881
2018/08/26/00:00,2018/08/27/21:15,0.0,0.04511881
2018/08/26/00:00,2018/08/27/21:30,0.0,0.04511881
2018/08/26/00:00,2018/08/27/21:45,0.0,0.07582116
2018/08/26/00:00,2018/08/27/22:00,0.230877,0.30225658
2018/08/26/00:00,2018/08/27/22:15,0.67487,0.5465281
2018/08/26/00:00,2018/08/27/22:30,1.207662,1.0570719
2018/08/26/00:00,2018/08/27/22:45,1.491818,1.6451697
2018/08/26/00:00,2018/08/27/23:00,1.847012,2.4261806
2018/08/26/00:00,2018/08/27/23:15,1.847012,2.4551232
2018/08/26/00:00,2018/08/27/23:30,1.98909,3.8857305
2018/08/26/00:00,2018/08/27/23:45,1.491818,4.2854
2018/08/27/00:00,2018/08/28/00:00,1.98909,4.64475
2018/08/27/00:00,2018/08/28/00:15,1.97133,6.2295837
2018/08/27/00:00,2018/08/28/00:30,2.060129,7.148953
2018/08/27/00:00,2018/08/28/00:45,2.184447,7.1930876
2018/08/27/00:00,2018/08/28/01:00,4.65305,7.8808146
2018/08/27/00:00,2018/08/28/01:15,5.718634,8.226316
2018/08/27/00:00,2018/08/28/01:30,7.228211,8.377668
2018/08/27/00:00,2018/08/28/01:45,7.228211,9.971649
2018/08/27/00:00,2018/08/28/02:00,7.814282,10.549139
